Name,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
"Kilian - Rolling In Love",ბრენდი,Kilian,1,1,მოცულობა,50ML,1,1
"Kilian - Good Girl Gone Bad",ბრენდი,Kilian,1,1,მოცულობა,50ML,1,1
"Tom Ford - Black Orchid",ბრენდი,"Tom Ford",1,1,მოცულობა,100ML,1,1
"Jean Paul Gaultier - Le Beau EDP",ბრენდი,"Jean Paul Gaultier",1,1,მოცულობა,75ML,1,1
"Orto Parisi - Boccanera",ბრენდი,"Orto Parisi",1,1,მოცულობა,50ML,1,1
"Tom Ford - Noir",ბრენდი,"Tom Ford",1,1,მოცულობა,100ML,1,1
"Byredo - Vanille Antique",ბრენდი,Byredo,1,1,მოცულობა,100ML,1,1
"Tom Ford - Rose Prick",ბრენდი,"Tom Ford",1,1,მოცულობა,100ML,1,1
"Tom Ford - Costa Azzurra",ბრენდი,"Tom Ford",1,1,მოცულობა,100ML,1,1
"Yves Saint Laurent - Black Opium",ბრენდი,"Yves Saint Laurent",1,1,მოცულობა,100ML,1,1
"Valentino - Donna Coral Fantasy",ბრენდი,Valentino,1,1,მოცულობა,100ML,1,1
"Bottega Veneta - IX Violetta",ბრენდი,"Bottega Veneta",1,1,მოცულობა,100ML,1,1
"Trussardi - Passeggiata In Galleria",ბრენდი,Trussardi,1,1,მოცულობა,100ML,1,1
"Trussardi - Musc Noir",ბრენდი,Trussardi,1,1,მოცულობა,100ML,1,1
"Xerjoff - Erba Pura",ბრენდი,Xerjoff,1,1,მოცულობა,100ML,1,1
"Kilian - Angels' Share",ბრენდი,Kilian,1,1,მოცულობა,50ML,1,1
"Initio - Musk Therapy",ბრენდი,Initio,1,1,მოცულობა,90ML,1,1
"Tom Ford - Tobacco Vanille",ბრენდი,"Tom Ford",1,1,მოცულობა,100ML,1,1
"Molecule - 02",ბრენდი,Molecule,1,1,მოცულობა,100ML,1,1
"Creed - Viking",ბრენდი,Creed,1,1,მოცულობა,100ML,1,1
"Orto Parisi - Megamare",ბრენდი,"Orto Parisi",1,1,მოცულობა,50ML,1,1
"Orto Parisi - Bergamask",ბრენდი,"Orto Parisi",1,1,მოცულობა,50ML,1,1
